City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Broome,US,42.2506,-75.833,23.0,76,100,1.99,light snow
255,Conde,BR,-7.2597,-34.9075,87.26,55,40,13.8,scattered clouds
256,Poum,NC,-20.2333,164.0167,81.07,86,100,17.45,moderate rain
257,Mnogovershinnyy,RU,53.9353,139.9242,-2.51,98,100,5.55,light snow
258,Winslow,US,35.0242,-110.6974,29.3,32,0,0.0,clear sky
259,Yabrud,SY,33.9674,36.6574,35.26,82,91,9.33,overcast clouds
260,Banda Aceh,ID,5.5577,95.3222,78.73,81,50,6.33,scattered clouds
261,Port Hedland,AU,-20.3167,118.5667,86.05,79,100,5.75,overcast clouds
262,Road Town,VG,18.4167,-64.6167,77.09,100,40,13.8,scattered clouds
263,Sinnamary,GF,5.3833,-52.95,78.71,87,97,10.09,overcast clouds
264,Cheremkhovo,RU,53.1561,103.0675,-9.18,100,95,3.18,overcast clouds
265,Conceicao Do Araguaia,BR,-8.2578,-49.2647,92.05,51,79,0.65,broken clouds
266,Gorontalo,ID,0.5412,123.0595,74.25,93,100,3.53,overcast clouds
267,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,66,100,11.43,overcast clouds
268,Fortuna,US,40.5982,-124.1573,44.65,95,100,1.99,overcast clouds
269,San Quintin,MX,30.4833,-115.95,57.76,24,4,1.92,clear sky
270,Pascagoula,US,30.3658,-88.5561,43.05,91,100,12.66,overcast clouds
271,Estelle,US,29.8458,-90.1067,39.99,84,100,12.66,mist
272,Bhanpura,IN,24.513,75.7469,61.54,26,0,4.85,clear sky
273,Banjarmasin,ID,-3.3244,114.591,75.34,92,81,0.65,broken clouds
274,Serenje,ZM,-13.2325,30.2352,60.85,98,100,7.14,overcast clouds
275,Labuhan,ID,-6.8844,112.2051,78.06,88,100,6.35,overcast clouds
276,Bam,IR,29.106,58.357,59.86,21,0,2.8,clear sky
277,Kruisfontein,ZA,-34.0033,24.7314,66.88,59,100,6.71,overcast clouds
278,Merrill,US,45.1805,-89.6835,7.57,75,100,0.0,overcast clouds
279,Broken Hill,AU,-31.95,141.4333,65.91,39,87,9.22,overcast clouds
280,Qaqortoq,GL,60.7167,-46.0333,5.4,75,88,29.46,overcast clouds
281,Kuandian,CN,40.7286,124.7847,3.47,82,2,2.66,clear sky
282,Mezen,RU,65.8522,44.24,-11.15,100,99,3.51,overcast clouds
283,Ulaangom,MN,49.9811,92.0667,-21.33,93,80,3.13,broken clouds
284,Launceston,AU,-41.45,147.1667,53.24,85,40,0.0,scattered clouds
285,Sandwick,GB,60.0,-1.25,37.22,75,40,28.77,scattered clouds
286,Taltal,CL,-25.4,-70.4833,70.05,67,6,6.42,clear sky
287,Chimbote,PE,-9.0853,-78.5783,76.32,69,68,10.38,broken clouds
288,Belmonte,BR,-15.8631,-38.8828,86.5,61,93,10.51,overcast clouds
289,Madimba,TZ,-10.4,40.3333,83.52,83,20,18.41,light rain
290,Yining,CN,29.0361,114.5636,36.81,88,3,1.61,clear sky
291,Letychiv,UA,49.3826,27.6305,25.2,98,97,4.59,overcast clouds
292,Saint George,US,37.1041,-113.5841,41.47,42,2,3.27,clear sky
293,Ihosy,MG,-22.4,46.1167,70.61,85,7,13.76,clear sky
294,Dekar,BW,-21.5333,21.9333,77.74,57,59,8.39,broken clouds
295,Ambilobe,MG,-13.2,49.05,78.1,83,100,11.88,light rain
296,Tjaereborg,DK,55.4646,8.5797,37.85,92,75,8.05,broken clouds
297,Turkmenabat,TM,39.0733,63.5786,48.18,37,0,13.8,haze
298,San Jeronimo,PE,-11.9472,-75.2829,60.44,54,98,2.84,overcast clouds
299,Ulladulla,AU,-35.35,150.4667,61.7,80,85,10.63,overcast clouds
300,Salinopolis,BR,-0.6136,-47.3561,82.62,74,96,9.57,moderate rain
301,Palmer,US,42.1584,-72.3287,36.21,100,100,13.8,freezing rain
302,Moree,AU,-29.4667,149.85,60.82,63,0,5.75,clear sky
303,Casablanca,MA,33.5928,-7.6192,70.02,63,0,8.99,clear sky
304,Diffa,NE,13.3154,12.6113,72.77,11,1,10.49,clear sky
305,Alekseyevka,RU,50.6309,38.6903,12.63,96,83,6.6,broken clouds
306,Nome,US,64.5011,-165.4064,7.11,52,0,13.8,clear sky
307,Tevriz,RU,57.509,72.4042,23.02,87,100,7.81,overcast clouds
308,Francistown,BW,-21.17,27.5079,78.42,51,72,4.5,broken clouds
309,Mugan,CN,35.9404,101.3842,18.86,57,98,6.78,overcast clouds
310,Diego De Almagro,CL,-26.3667,-70.05,80.1,16,0,11.79,clear sky
311,Anloga,GH,5.7947,0.8973,86.22,71,11,14.5,few clouds
312,Komsomolskiy,UZ,40.4272,71.7189,40.42,64,0,4.61,clear sky
313,Oetrange,LU,49.5964,6.26,45.73,94,75,16.11,mist
314,Luderitz,NA,-26.6481,15.1594,74.93,60,6,17.11,clear sky
315,Avarua,CK,-21.2078,-159.775,77.05,83,20,4.61,few clouds
316,Zhaotong,CN,27.3167,103.7167,32.49,91,98,1.21,overcast clouds
317,Cidreira,BR,-30.1811,-50.2056,76.8,77,95,5.01,overcast clouds
318,Vaasa,FI,63.096,21.6158,30.22,86,100,19.57,snow
319,Binabalian,PH,16.4202,119.9279,79.68,76,18,10.07,few clouds
320,Kaihua,CN,23.3687,104.28,46.94,82,64,5.79,broken clouds
321,Show Low,US,34.2542,-110.0298,30.07,36,0,12.66,clear sky
322,Mahebourg,MU,-20.4081,57.7,80.26,94,75,13.8,broken clouds
323,Seydi,TM,39.4816,62.9137,49.05,31,0,13.71,clear sky
324,Arona,ES,28.0996,-16.681,68.7,52,0,4.0,clear sky
325,Grootfontein,NA,-19.5667,18.1167,78.37,57,40,11.5,scattered clouds
326,Eyl,SO,7.9803,49.8164,74.44,60,10,14.65,clear sky
327,Hayesville,US,44.986,-122.9829,40.42,85,100,1.01,mist
328,Yulara,AU,-25.2406,130.9889,69.64,40,2,5.75,clear sky
329,Bonavista,CA,48.6499,-53.1147,32.11,94,100,19.69,snow
330,Deputatskiy,RU,69.3,139.9,-28.84,100,90,2.37,overcast clouds
331,Teya,RU,60.3778,92.6267,16.88,92,100,10.49,overcast clouds
332,Katiola,CI,8.1333,-5.1,95.63,7,6,2.84,clear sky
333,Sola,VU,-13.8833,167.55,81.03,80,100,26.87,moderate rain
334,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,67,20,4.0,few clouds
335,Ahipara,NZ,-35.1667,173.1667,71.15,88,96,14.34,overcast clouds
336,Aykhal,RU,66.0,111.5,-25.08,100,80,3.42,broken clouds
337,Pangai,TO,-19.8,-174.35,77.45,91,100,20.29,heavy intensity rain
338,Cachira,CO,7.741,-73.0483,65.97,56,29,1.05,scattered clouds
339,Birao,CF,10.2849,22.7882,82.63,13,6,6.89,clear sky
340,Portland,US,45.5234,-122.6762,40.24,95,75,1.01,fog
341,Pachino,IT,36.7186,15.0907,57.24,83,53,16.46,broken clouds
342,Vardo,NO,70.3705,31.1107,19.38,79,75,20.71,broken clouds
343,Arrecife,ES,28.963,-13.5477,69.87,68,0,6.91,clear sky
344,Camopi,GF,3.1655,-52.3158,83.5,68,92,5.35,overcast clouds
345,Porangatu,BR,-13.4408,-49.1486,87.15,59,97,1.23,overcast clouds
346,Peniche,PT,39.3558,-9.3811,60.76,84,100,13.22,overcast clouds
